Subject variable/alias used,Line start,Line end,Filename
Subject,12,12,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/background/badge.ts
Subject,8,8,/Users/stefanosathanasoulias/thesis-projects-container/projects/ext-saladict-dev/src/options/helpers/upload.ts
