Subject variable/alias used,Line start,Line end,Filename
Subject,198,198,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/buffers/representation/representation_buffer.ts
Subject,100,100,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/eme/session_events_listener.ts
Subject,145,145,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_media_source.ts
Subject,227,227,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_media_source.ts
Subject,285,285,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/initialize_media_source.ts
Subject,160,160,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/init/load_on_media_source.ts
Subject,145,145,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/pipelines/segment/prioritizer.ts
Subject,220,220,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/source_buffers/queued_source_buffer.ts
Subject,411,411,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/source_buffers/queued_source_buffer.ts
Variable: _destroy$,183,183,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/source_buffers/queued_source_buffer.ts
Variable: _destroy$,220,220,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/source_buffers/queued_source_buffer.ts
Variable: _destroy$,237,237,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/source_buffers/queued_source_buffer.ts
Variable: _destroy$,242,242,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/source_buffers/queued_source_buffer.ts
Variable: _destroy$,246,246,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/source_buffers/queued_source_buffer.ts
Variable: _destroy$,355,355,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/source_buffers/queued_source_buffer.ts
Variable: _destroy$,356,356,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/core/source_buffers/queued_source_buffer.ts
Subject,114,114,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/custom_source_buffers/text/html/html_text_source_buffer.ts
Variable: _destroy$,96,96,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/custom_source_buffers/text/html/html_text_source_buffer.ts
Variable: _destroy$,114,114,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/custom_source_buffers/text/html/html_text_source_buffer.ts
Variable: _destroy$,119,119,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/custom_source_buffers/text/html/html_text_source_buffer.ts
Variable: _destroy$,249,249,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/custom_source_buffers/text/html/html_text_source_buffer.ts
Variable: _destroy$,250,250,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/custom_source_buffers/text/html/html_text_source_buffer.ts
Subject,79,79,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/cast_to_observable.test.ts
Subject,80,80,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/cast_to_observable.test.ts
Subject,120,120,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/concat_map_latest.test.ts
Subject,54,54,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,55,55,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,91,91,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,92,92,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,93,93,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,130,130,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,131,131,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,132,132,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,176,176,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,177,177,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,178,178,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,216,216,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,217,217,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
