Subject variable/alias used,Line start,Line end,Filename
Subject,42,42,/Users/stefanosathanasoulias/thesis-projects-container/projects/redux-observable-master/src/createEpicMiddleware.ts
Subject,53,53,/Users/stefanosathanasoulias/thesis-projects-container/projects/redux-observable-master/src/createEpicMiddleware.ts
Subject,54,54,/Users/stefanosathanasoulias/thesis-projects-container/projects/redux-observable-master/src/createEpicMiddleware.ts
Subject,5,5,/Users/stefanosathanasoulias/thesis-projects-container/projects/redux-observable-master/src/StateObservable.ts
