Observable variable/alias used,Times Used,Line start,Line end,Filename
Map,1,13,13,/Users/stefanosathanasoulias/thesis-projects-container/projects/react-native-sensors-master/src/sensors.js
Map,1,20,20,/Users/stefanosathanasoulias/thesis-projects-container/projects/react-native-sensors-master/src/sensors.js
Map,1,27,27,/Users/stefanosathanasoulias/thesis-projects-container/projects/react-native-sensors-master/src/sensors.js
NativeEventEmitter,1,50,50,/Users/stefanosathanasoulias/thesis-projects-container/projects/react-native-sensors-master/src/sensors.js
