Alias or name used,Line,Filename
map,14,/Users/stefanosathanasoulias/thesis-projects-container/projects/set_r4/vue-finances-front-dev-master/src/modules/dashboard/modules/finances/services/accounts-service.js
map,15,/Users/stefanosathanasoulias/thesis-projects-container/projects/set_r4/vue-finances-front-dev-master/src/modules/dashboard/modules/finances/services/categories-service.js
map,86,/Users/stefanosathanasoulias/thesis-projects-container/projects/set_r4/vue-finances-front-dev-master/src/modules/dashboard/modules/finances/services/records-service.js
