Subject variable/alias used,Line start,Line end,Filename
Subject,15,15,/Users/stefanosathanasoulias/thesis-projects-container/projects/set_r3/Angular-DD-master/APM/src/app/products/product-detail/product-detail.component.ts
Subject,17,17,/Users/stefanosathanasoulias/thesis-projects-container/projects/set_r3/Angular-DD-master/APM/src/app/products/product-list/product-list.component.ts
